radio,mu_mean,mu_diff_std
a,2.66246066176878,1.0522651418286986
e,2.3048848974441962,1.0810356138288904
o,2.5540473383769795,1.105540041372978
o+,2.4474107080827348,1.1394659030527499
ABC Lounge Jazz,3.56044,0.023586513098143365
Alouette,2.0334,0.24578399291535533
Beur FM,2.81928,0.24475745834104376
Champagne FM,1.8868,0.023200754788261745
Chante France,2.32716,0.09133490237546496
Chí©rie FM,2.04308,0.13991714384050344
Contact FM,1.67852,0.11928624418097057
Djam Radio,3.64644,0.06527104741336534
FG,2.49264,0.18736855844958183
Fip,3.62124,0.04331088392343592
France Inter,3.35464,0.10824938113805979
France Musique,3.84244,0.07255397810039597
Fun Radio,2.12984,0.07181129035111505
Générations,2.22724,0.2734874847133381
Hitwest,1.76896,0.22423760130246215
Hotmixradio Hits,2.01396,0.030063437164916804
Jazz Radio,3.35936,0.07223815547000378
Latina,2.85496,0.11502441642082653
Mouv',2.20212,0.382737392543509
NRJ,1.6438,0.32054745365068316
Nostalgie,2.78712,0.2715853469926419
Ouï FM,2.66024,0.07307030190502965
RFM,2.09636,0.16617381503679218
RTL,2.684184308841843,0.2724438703994892
RTL2,2.21476,0.2517597825404911
Radio Classique,3.04104,0.12421082092563471
Radio Meuh,3.82448,0.020908202683317823
Radio Nova,3.3054,0.1309524967251865
Rire & Chansons,2.15652,0.08476510729670961
Skyrock,1.75812,0.16778332507745466
Sud radio,2.468738129605713,0.15671338355196057
Swigg,2.0272,0.2954378346835942
TSF Jazz,3.27564,0.06732998971627366
Vibration,1.72608,0.14661471204209986
Virgin Radio,2.0918,0.5002091269643201
Voltage FM,1.69736,0.24347051785803844
Wit FM,1.67512,0.1614913179852171
kiss fm,1.97796,0.07604184414766585
