radio,mu_diff_std
ABC Lounge Jazz,0.023586513098143365
Alouette,0.24578399291535533
Beur FM,0.24475745834104376
Champagne FM,0.023200754788261745
Chante France,0.09133490237546496
Chí©rie FM,0.13991714384050344
Contact FM,0.11928624418097057
Djam Radio,0.06527104741336534
FG,0.18736855844958183
Fip,0.04331088392343592
France Inter,0.10824938113805979
France Musique,0.07255397810039597
Fun Radio,0.07181129035111505
Générations,0.2734874847133381
Hitwest,0.22423760130246215
Hotmixradio Hits,0.030063437164916804
Jazz Radio,0.07223815547000378
Latina,0.11502441642082653
Mouv',0.382737392543509
NRJ,0.32054745365068316
Nostalgie,0.2715853469926419
Ouï FM,0.07307030190502965
RFM,0.16617381503679218
RTL,0.2724438703994892
RTL2,0.2517597825404911
Radio Classique,0.12421082092563471
Radio Meuh,0.020908202683317823
Radio Nova,0.1309524967251865
Rire & Chansons,0.08476510729670961
Skyrock,0.16778332507745466
Sud radio,0.15671338355196057
Swigg,0.2954378346835942
TSF Jazz,0.06732998971627366
Vibration,0.14661471204209986
Virgin Radio,0.5002091269643201
Voltage FM,0.24347051785803844
Wit FM,0.1614913179852171
kiss fm,0.07604184414766585
